Comment,Gold Standard,Prediction
"For information regarding public services to be updated quickly and consistently. To make information simple and digestible for the average resident in multiple languages. And for information to be more accessible, especially regarding elections, community input, and relevant city services.",Technology,Technology
Improve and fund public transportation to allow people to access the city they live in.,Public Safety,Public Safety
More access to info like mutual aid and having a connected public transport system.,Public Safety,Public Safety
Greater access to transportation and more solar friendly.,Technology,Technology
"Create a 'NYC time square' like location downtown where you can display all public service data/stats/information on a huge screen, then sell advertising space on the screen to fund the 'time square' creation.",Technology,Technology
Improve mobility and equitable distribution of resources. Automate as much as you can so that more time can be spent mindfully living.,Both,Both
"I would like to see interactive web dashboards related to public health, transportation data, housing, crime, etc. City dwellers should be enabled and empowered to make informed decisions with data that is collected by the city.",Both,Both
"I'd like to see VIA actually show up on time. I'd also like to see that every bus stop has some sort of shelter so people can wait in the shade instead of this terrible heat. Also, the roads are terrible. Maybe some sort of predictive model can be used to determine which roads in the city are the oldest and some preventative maintenance can be performed.",Both,Both
"I would like technology to be used to make San Antonio a better place to live, especially for those living in poverty.",Both,Both
More transparency.,Neither,Neither
Technology can be used to provide unbiased and in-depth information regardless of current issues in the city. It can also be used to help those with disabilities become more independent.,Technology,Technology
Sensors on public assets and infrastructure to alert to when repairs and service interruption occurs.,Both,Neither
Used in a non-complicated way for those less fortunate or unable to get the technology services needed. Mentorship-tutors.,Technology,Technology
Access to real-time data to make decisions...,Technology,Technology
Ease of access.,Neither,Neither
Better apps.,Technology,Technology
Easier to access information.,Technology,Technology
It all comes down to adequately staffing technological resources.,Technology,Technology
"No opinion. This is a very low priority for me. I just want fewer bike lanes taking up room on city streets, lower taxes, and less homeless people on street corners (for reasons of property values and public safety).",Public Safety,Public Safety
"Virtual meetings with city officials and policy makers, free Wi-Fi for low-income families.",Technology,Technology
"More efficient and effective use of resources - traffic patterns, energy usage, improve procedures.",Technology,Technology
Focus on the basics. Make city services more efficient.,Neither,Neither
I would like the internet/wifi to be consistently faster. There are certain times when it gets slower at almost the same time every day.,Technology,Technology
Cut costs.,Neither,Neither
Continued information from City Councilman Courage.,Neither,Neither
Provide an app to monitor water and energy consumption in our homes.,Technology,Technology
Easy access and safety.,Public Safety,Public Safety
Online voting for registered voters who are disabled or elderly.,Technology,Technology
Reporting crimes.,Public Safety,Neither
Greater connectivity for all. Wi-Fi services throughout the community that are free.,Technology,Technology
Identifying needs/gaps in services; tracking improvements and progress; closing education gaps.,Technology,Technology
Entertainment and safety.,Public Safety,Public Safety
Better public trans. Easier access to public services.,Technology,Technology
Use technology to create a more hygienic environment.,Both,Technology
"Having fast free Wi-Fi in the city and surrounding areas (areas planned for annexation) to allow us to connect to services and the community. Apps that will show when buses and trains are coming, yes trains we need transportation from north to downtown, river walk and Austin.",Technology,Technology
Cool concrete technology to reduce heat.,Technology,Technology
Better sensors at heavy light traffic intersections. Better and/or adding street lighting for older existing neighborhoods. Use of cameras in the street for vigilance in high crime areas.,Both,Both
Public services and internet are great but the elderly still lack the tools and resources in low-income areas to use these tools.,Technology,Technology
"More responsive, user-friendly systems.",Technology,Technology
I love that this year so many fitness opportunities have been available and posted online. Please allow more lap swimming at more of the pools in the downtown and southeast side of town!,Technology,Technology
"I'd like public campaigns to destigmatize and push mass transit like a rail system. I'd like more public info campaigns about how individual choices can reduce carbon footprints. I'd like technology to be used to find the nearest recycling bin or trash bin so people wouldn't throw their rubbish around. I'd like to use technology to really contribute how we can rethink our futures without a heavy reliance on fossil fuels, single-use plastics, and a shift away from individualism.",Technology,Technology
Safer and monitored public safety so that EMS can quickly respond in emergencies. Solid emergency preparedness for combined city and county safety.,Public Safety,Public Safety
Better communication between all city services and our COSA citizens.,Technology,Technology
To lower my property taxes and get crosswalks and sidewalks for neighborhoods and schools. Use tech to design them then use tech to schedule the improvements.,Both,Both
More things online and easy to use. More robust high-speed internet access and choices.,Technology,Technology
AI & for there to be a central database for all City services so I can get updates & report issues & track progress when I want updates.,Technology,Technology
Apps to help sign up for programs or locate certain services easier.,Technology,Technology
Improving service delivery. Extreme weather response.,Public Safety,Public Safety
"Innovation, efficiency, transparency and accessibility.",Neither,Neither
"Use machine learning to maximize energy efficiency, transit efficiency, and enhance sustainable economic development.",Technology,Technology
"Access to tech and public health resources; better public transport - cities are for human beings, not cars.",Both,Both
"Installing public WiFi in heavily public-trafficked areas, providing technology for homeless folks, and creating a safer and better public transit system.",Both,Both
Use existing traffic and mapping data from Google and Apple to determine the most common trips taken by citizens to prioritize public transit routes. Light rail from SAT to downtown to the med center would give business and tourist visitors an easy way to avoid the traffic.,Technology,Technology
"SAFE public transportation, better roads, and affordable healthcare options.",Public Safety,Public Safety
Safety.,Public Safety,Public Safety
By making it accessible to all and affordable to all.,Technology,Neither
"Stay on top of social media posts to inform the masses as well as an easy-to-navigate website to keep myself updated with what’s going on in the city. I think having a public TV channel that only has city information (voting rights/locations, exactly what we’re voting on, who we’re voting for, development changes, issues in the city, etc.) would keep us informed.",Technology,Technology
Test.,Neither,Neither
Communication.,Technology,Neither
Making it affordable.,Neither,Neither
I would like our city to have more solar options.,Technology,Technology
To make things more convenient.,Neither,Neither
Free to all.,Neither,Neither
It can help look up transportation.,Technology,Technology
To actually help police help the community a lot faster.,Neither,Neither
Utilize tech to inform the public.,Technology,Technology
More devices that are able to help you get around quicker or even devices that get right to the source without having any trouble.,Technology,Technology
Find a better way to have safer access to transport at all hours for all ages.,Both,Both
Maybe create an app that has a list of all of the services the city has available.,Technology,Technology
Transportation technology for users should be easier.,Technology,Technology
Better Google Maps.,Technology,Technology
I would like technology to help older people understand how to use or create a website.,Technology,Technology
Online education.,Technology,Technology
Make them more user-friendly and accessible.,Technology,Technology
Create user-friendly apps to register for programs.,Technology,Technology
"I want an app to pay for my water and Wi-Fi services. Also, an app for bus transportation.",Technology,Technology
Quality control with cost-efficient services.,Neither,Neither
All people to communicate.,Technology,Neither
Free internet.,Technology,Technology
Having accessible hotspots all around town.,Technology,Technology
Better connect to getting someone’s attention.,Technology,Technology
To provide information about healthy foods.,Both,Technology
More/easier access.,Technology,Neither
To make things more efficient for us.,Neither,Neither
Faster and easier.,Neither,Neither
Making sure first responders can use current and future technology to keep our city safe.,Both,Both
Needs to be convenient and accessible from all areas of San Antonio.,Neither,Neither
Increase access to the internet. Make it a public utility.,Technology,Technology
Affordable internet for all.,Technology,Technology
Better area.,Neither,Neither
Allow all residents to access the internet.,Technology,Technology
Increased efficiencies.,Neither,Neither
"I would like to have the ability to have Wi-Fi connectivity all throughout the city with reliable service. I would also like to know who does what. What schools are involved, how businesses are contributing, and what is the overall goal and the progression toward it. I would like to see more advancement in transit and options.",Technology,Technology
Better response time and follow-up portal for code violations reported.,Technology,Technology
More privacy among the public.,Neither,Neither
User-friendly apps.,Technology,Technology
An app to locate services and directions across the county.,Technology,Technology
Not everyone can afford the internet. Provide free internet to all elderly residents and provide resources to teach them.,Technology,Technology
Affordable housing.,Neither,Neither
Wi-Fi.,Technology,Technology
Free internet access.,Technology,Technology
"Being protected against online threats, stolen information, and data collection while using the internet.",Both,Technology
Affordable internet for families.,Technology,Technology
Improve internet towers.,Technology,Technology
Use the latest technology available to make public services more accessible.,Technology,Technology
More clarity and faster response.,Neither,Neither
I would like technology to be used to protect the safety of our community.,Both,Both
"To cut time in lines, allow more business to be done online rather than in person, educate the public and increase participation, match volunteers with needs, provide dashboards to track stats and solve problems like public health, water levels and insecurity, food insecurity and access points, animal control, public transportation, school rankings, and needs.",Both,Both
I would like technology to be easily accessible to all people in order for them to find any information they need.,Technology,Technology
Easier apps to navigate.,Technology,Technology
Convenient and easy-to-use applications that have no errors. Apps that are accessible for elderly and people with disabilities will greatly improve the health of the city’s people in the future.,Both,Both
Having access to public services in public parks.,Neither,Neither
More advertisement for programs to help the community.,Both,Neither
"Help the homeless, share my opinion of NISD, allow voices to be heard, allow freedom of speech, allow freedom of religion.",Public Safety,Public Safety
Track crime.,Public Safety,Public Safety
I don’t know.,Neither,Neither
Put more information.,Neither,Neither
More free software training for families.,Technology,Technology
Much better traffic signal management needed. Most intersections are holding up traffic flow in both directions much longer than needed.,Both,Both
Like things that would improve city services.,Neither,Neither
Online chats on city websites; better website design.,Technology,Technology
Create a site that lists all public/emergency services by zip code.,Both,Both
Easier scheduling for transportation and services.,Technology,Neither
Make it friendly. Some of us are technologically challenged.,Technology,Technology
User friendly.,Neither,Technology
Being able to access expanding senior services.,Neither,Neither
Continue to make information available online.,Technology,Technology
Low-cost internet services.,Technology,Technology
Make it easier for citizens to have input.,Neither,Neither
More education.,Neither,Neither
Centralized databases for information.,Technology,Technology
Easier to use with better access to internet connection.,Technology,Technology
Provide emergency information to all citizens. The last snowstorm left us all in the dark.,Public Safety,Public Safety
Access to what is going on in the city and neighborhood.,Neither,Neither
Better safeguards.,Neither,Neither
Accessible 24/7 - easy to find public facilities such as libraries or others.,Neither,Neither
Make it easier to access; I can never remember passwords!,Technology,Technology
Create smarter systems for traffic management. Make ALL services available for complete transactions easily online.,Both,Both
Law enforcement to enforce laws already on the books.,Public Safety,Neither
Cameras for the police in the city to use to catch drug trafficking and human trafficking.,Both,Both
Make it easy to access and use.,Neither,Neither
"I would like technology to improve response times for police, fire department, or other emergency services and make them faster.",Both,Both
"Help educate those who do not know how to use phones, emails, or computers, as well as helping them sign up for new opportunities.",Technology,Technology
"Better communication about available resources that can help residents. More opportunities for people to access these resources online through forms, chats, virtual assistance, etc.",Technology,Technology
Health and schools.,Public Safety,Neither
More alerts on public services.,Technology,Technology
"The use of mobile apps would make it easier for most people to access public services. For example, the 311 app could have interactive portions, so that if my recycle bin needs to be replaced, I can do it through the 311 app.",Technology,Technology
"Provide ways to conveniently connect with City departments, any day of the week, any time of the day.",Technology,Technology
Timed traffic signals.,Both,Neither
To be used in a way that advances sustainable practices and conservation.,Public Safety,Public Safety
Replace existing above-ground utility lines with in-ground facilities.,Neither,Neither
Internet service available to everyone in the city at low cost.,Technology,Technology
Green spaces and solar for city garages/lots; green spaces and solar sidewalks and trails; bike/walk/public transit/trolley only in innermost downtown (tech comes in because we have to inform everyone how to get around otherwise).,Technology,Technology
More public Wi-Fi with added security features and technology that encourages environmental awareness.,Technology,Technology
Teach people about the new technologies and what's coming.,Technology,Technology
Investing in innovative technology to bring quality jobs and better work-life balance to all.,Technology,Technology
Citizen forums. Citizen Training for public website.,Technology,Technology
"Having the opportunity to work remotely for all positions whose main job is over the computer. No point in coming into the office wasting resources and producing carbon emissions, which contradicts the climate change initiative (Epi department).",Both,Both
Make it easily accessible.,Technology,Technology
Create commuter rail services.,Technology,Neither
